time_iso,content,url
2020-06-22T02:35:27.000Z,"The fight for statehood cannot be separated from the fight for racial justice. Recent events show why it’s more important than ever for the District to become the 51st state. Let’s end taxation without representation. 

#DCStatehood now.",https://x.com/MayorBowser/status/1274893735667662848
2020-06-11T16:05:53.000Z,"No country in the world should turn its military on peaceful protestors. DC and those marching for justice did not deserve the militarization and suppression of our voices.

#DCstatehood now.",https://x.com/MayorBowser/status/1271111422127243264
2020-06-10T00:17:01.000Z,"DC, these past three months haven’t been easy, and I just want to say thank you. Thank you for the sacrifices you’ve had to make. Thank you for risking your lives to serve others. Thank you for sowing love. Not hate. Faith not doubt. Hope. Not despair, and light. Not darkness.",https://x.com/MayorBowser/status/1270510243278196736
2020-06-07T12:58:26.000Z,"We’ve walked this path before, and will continue marching on, hand in hand, elevating our voices, until justice and peace prevail. 

Thank you for joining me at Black Lives Matter Plaza, in front of the White House, 
@repjohnlewis
.",https://x.com/MayorBowser/status/1269614695146762240
2020-06-06T18:20:23.000Z,With grace and determination we will reach the promised land.,https://x.com/MayorBowser/status/1269333329708486656
2020-06-06T13:11:34.000Z,"As we make our voices heard, please continue to look out for one another. It’s crowded and many children are now also peacefully demonstrating. 

Let’s continue to show the world our #DCvalues.",https://x.com/MayorBowser/status/1269255614527569920
2020-06-06T04:19:23.000Z,You awake? Here’s the view from space.,https://x.com/MayorBowser/status/1269121684268818438
2020-06-05T23:29:20.000Z,"It has been a long time coming, but I know. I know—change will come.",https://x.com/MayorBowser/status/1269048690678870016
2020-06-05T23:01:31.000Z,"Coronavirus has claimed the life of 
@DCPoliceDept
's, 31-year veteran, Senior Officer Keith Williams. With heavy hearts, we honor his service to the District and our schools. 

Officer Williams is survived by his wife, four children, and granddaughter.",https://x.com/MayorBowser/status/1269041691660554242
2020-06-05T22:44:14.000Z,"New Jersey 
@GovMurphy
: I request that you remove your National Guard from our city. They were brought to the District without my knowledge and request. 

I appreciate your service, but your presence encroaches on the rights of 705,000 tax-paying residents.",https://x.com/MayorBowser/status/1269037339994660864
2020-06-05T22:44:14.000Z,"Ohio 
@GovMikeDeWine
: I request that the Ohio National Guard be removed from the District. Without my knowledge and request, they were brought to our streets.

While I appreciate your service, we ask that you respect the right to self-governance of 705,000 tax-paying Americans.",https://x.com/MayorBowser/status/1269037343605915650
2020-06-05T16:30:12.000Z,"Breonna Taylor, on your birthday, let us stand with determination. 

Determination to make America the land it ought to be.",https://x.com/MayorBowser/status/1268943214268030978
2020-06-05T15:32:06.000Z,The section of 16th street in front of the White House is now officially “Black Lives Matter Plaza”.,https://x.com/MayorBowser/status/1268928589975695361
2020-06-05T13:19:26.000Z,"I request that 
@realDonaldTrump
 withdraw all extraordinary federal law enforcement and military presence from our city.",https://x.com/MayorBowser/status/1268895206713307138
2020-06-03T14:40:11.000Z,#DCstatehood. Now.,https://x.com/MayorBowser/status/1268190751210553344
2020-04-08T00:00:17.000Z,"It’s 8 p.m D.C. 

From your window 
Wherever you are 
Let our health workers hear your 

#WorldHealthDay",https://x.com/MayorBowser/status/1247675595183599616
2020-03-30T20:38:05.000Z,"1/ Today, due to an increasing number of coronavirus (COVID-19) cases in DC and across the region and the nation, I've issued a stay-at-home order for the District of Columbia. This order reinforces my direction to residents to stay at home except to perform essential activities.",https://x.com/MayorBowser/status/1244725608917209088
2020-03-27T19:58:59.000Z,"1/ Today, it was with great sadness that I delivered the news that a member of my team and a longtime public servant, George Valentine, passed away due to COVID-19. We are all devastated.",https://x.com/MayorBowser/status/1243628606271651842
2020-03-26T14:25:25.000Z,"Share this graphic to let others know that staying home saves lives.
coronavirus.dc.gov
#StayHomeDC

Source: 
@SignerLab
, 
@GaryWarshaw",https://x.com/MayorBowser/status/1243182273328971776
2020-03-20T23:10:31.000Z,"Share this graphic to let others know that time outside does not mean time to socialize. Get some air, and help stop the spread of germs.
coronavirus.dc.gov",https://x.com/MayorBowser/status/1241140088765067264
2020-03-07T22:43:12.000Z,"Late this afternoon, testing at the Public Health Lab at the DC Department of Forensic Sciences yielded its first presumptive positive coronavirus (COVID-19) case. Join me live at 7:30 p.m. for a briefing at the John A. Wilson Building.",https://x.com/MayorBowser/status/1236422174958895104
2019-10-31T04:47:30.000Z,"RT if you’re ready for a championship parade.

#FIGHTFINISHED
#WorldSeries",https://x.com/MayorBowser/status/1189765817887576065
2019-10-31T04:27:22.000Z,"Come home, 
@Nationals
.

We’re waiting for ‘ya. 

#FIGHTFINISHED
#WorldSeries",https://x.com/MayorBowser/status/1189760750014861317
2019-10-31T03:52:26.000Z,"WASHINGTON
 
@Nationals
 

          
   
       

  
        
        
  

  
        
       
        

  
  
  
  

  
        
        
  

CHAMPIONS

#FIGHTFINISHED
#WorldSeries",https://x.com/MayorBowser/status/1189751958510460933
2019-10-26T00:05:13.000Z,"Red as far as the eye can see! Let's #FinishTheFight, 
@nationals
.",https://x.com/MayorBowser/status/1187882839448215552
2018-08-26T01:33:43.000Z,"Today, our country lost a hero and a patriot. 

In honor of Senator McCain's legacy, I have ordered DC flags to be flown half-staff.

Rest in peace to one of the most courageous public servants our country will ever know.",https://x.com/MayorBowser/status/1033527881140514816
2018-06-23T19:48:52.000Z,".
@cmclymer
, I’m so sorry this happened to you. While I’m glad to hear that 
@DCPoliceDept
 were there to represent our true #DCValues, we won’t accept this type of discrimination in Washington, DC. It’s not just illegal, it’s against all we stand for. 
x.com/cmclymer/statu
…",https://x.com/MayorBowser/status/1010610660152135680
2018-05-22T01:16:31.000Z,"It is with great joy and excitement that I share with you that late last year, I decided to begin the adoption journey. I was not sure how long it would take, and to my delight, it advanced much sooner than I expected. So today, I am proud to announce that I am a mom!",https://x.com/MayorBowser/status/998734316933795840
2018-04-13T13:16:34.000Z,"One of our fearless, young DC leaders, Zion Kelly helps us kick off the celebration of #DCEmancipationDay at the Full Democracy Champions Breakfast. 

Like Zion said, #EnoughisEnough. We call for action against #GunViolence.",https://x.com/MayorBowser/status/984782397639200768
2017-09-23T23:07:57.000Z,#DCvalues,https://x.com/MayorBowser/status/911728874735771650
2017-06-02T00:58:28.000Z,Tonight the Wilson Building turns green in honor of DC's continued commitment to the #ParisAgreement. #ClimateMayors,https://x.com/MayorBowser/status/870444472374624256
